"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL","2021-09-29","82.4","1.98","5.66","Lowther, Zac",657077,675912,,"ball",,,,,"13","Alex Verdugo singles on a line drive to center fielder Cedric Mullins, deflected by shortstop Richie Martin.","R","L","L","BAL","BOS","B",,,"0","1",2021,"-1.05","0.17","-0.96","1.60",,,,"0","5","Top",,,,,"600474",,,-4.68273145224214,-119.82432930319271,-2.9592196041584513,-8.976200113637427,25.935801196070763,-30.14036280334613,"3.51","1.55",,,,"82.7","2589","6.8",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.73",,,,,,,,"32","2","Slider","0","1","1","0","1","0","1","0","Standard","Standard","312","0","0.027"
"FF","2021-09-29","88.7","1.72","5.72","Lowther, Zac",657077,675912,,"called_strike",,,,,"8","Alex Verdugo singles on a line drive to center fielder Cedric Mullins, deflected by shortstop Richie Martin.","R","L","L","BAL","BOS","S",,,"0","0",2021,"1.13","1.34","0.13","1.73",,,,"0","5","Top",,,,,"600474",,,-6.340682270701244,-128.92045728152857,-6.513137101911987,13.980176003367912,28.83678512180866,-16.072229039836422,"3.46","1.5",,,,"89.3","2186","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.59",,,,,,,,"32","1","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","136","0","-0.038"
"FF","2021-09-29","91.2","1.71","5.78","Lowther, Zac",608700,675912,"strikeout","called_strike",,,,,"4","Kevin Plawecki called out on strikes.","R","R","L","BAL","BOS","S","2",,"0","2",2021,"1.08","1.44","-0.43","2.61",,,,"2","4","Top",,,,,"600474",,,-7.813209223716777,-132.44776998078697,-5.160793885474612,14.462300670593168,31.781402940251944,-14.334199155990412,"3.41","1.58",,,,"91.9","2371","7.1",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.38",,,"0","1","0","0",,"27","3","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","138","0.011","-0.061"
"FF","2021-09-29","90.1","1.85","5.65","Lowther, Zac",608700,675912,,"swinging_strike",,,,,"2","Kevin Plawecki called out on strikes.","R","R","L","BAL","BOS","S",,,"0","1",2021,"1.14","1.52","0.05","3.30",,,,"2","4","Top",,,,,"600474",,,-7.0204002404866745,-130.96216519111078,-3.0485943885052555,14.623428317449452,31.473433365635426,-14.389554418067572,"3.47","1.59",,,,"90.9","2301","7.2",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.34",,,,,,,,"27","2","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","135","0","-0.024"
"SL","2021-09-29","82.6","2.22","5.63","Lowther, Zac",608700,675912,,"called_strike",,,,,"8","Kevin Plawecki called out on strikes.","R","R","L","BAL","BOS","S",,,"0","0",2021,"-1.04","0.33","0.01","1.64",,,,"2","4","Top",,,,,"600474",,,-3.015175561030793,-120.13082782762119,-3.112168707586021,-9.198590296942738,27.536198114472278,-28.56727125863512,"3.41","1.71",,,,"82.6","2612","6.8",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.74",,,,,,,,"27","1","Slider","0","1","1","0","1","0","1","0","Standard","Standard","303","0","-0.018"
"FF","2021-09-29","90.3","1.71","5.82","Lowther, Zac",666915,675912,"field_out","hit_into_play",,,,,"3","Bobby Dalbec flies out sharply to center fielder Cedric Mullins.","R","R","L","BAL","BOS","X","8","fly_ball","2","1",2021,"1.04","1.44","0.60","3.57",,,,"1","4","Top",158.4,53.95,,,"600474",,,-5.040029586045867,-131.27089904145495,-2.64187546295791,13.1252847179833,32.575991137201534,-15.282827302957136,"3.55","1.63","367","104.0","35","90.7","2269","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.53","0.614","1.202","0","1","0","0","6","26","4","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","142","0.016","-0.195"
"CU","2021-09-29","76.9","1.84","5.78","Lowther, Zac",666915,675912,,"ball",,,,,"13","Bobby Dalbec flies out sharply to center fielder Cedric Mullins.","R","R","L","BAL","BOS","B",,,"1","1",2021,"-1.16","-1.02","-1.47","1.05",,,,"1","4","Top",,,,,"600474",,,-4.966505541252228,-111.78830815171881,-0.9841692197992937,-8.412669964050103,25.563878837683475,-40.566849698504285,"3.53","1.69",,,,"76.8","2552","6.9",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.59",,,,,,,,"26","3","Curveball","0","1","1","0","1","0","1","0","Standard","Standard","328","0","0.038"
"FF","2021-09-29","90.7","1.7","5.84","Lowther, Zac",666915,675912,,"ball",,,,,"11","Bobby Dalbec flies out sharply to center fielder Cedric Mullins.","R","R","L","BAL","BOS","B",,,"0","1",2021,"0.95","1.57","-0.23","3.88",,,,"1","4","Top",,,,,"600474",,,-6.958955785478786,-131.758701637476,-2.2700667244004813,12.69826867340419,32.124990825415715,-13.751616364830845,"3.59","1.73",,,,"91.2","2314","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.48",,,,,,,,"26","2","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","145","0","0.021"
"FF","2021-09-29","91.1","1.75","5.84","Lowther, Zac",666915,675912,,"foul",,,,,"6","Bobby Dalbec flies out sharply to center fielder Cedric Mullins.","R","R","L","BAL","BOS","S",,,"0","0",2021,"0.96","1.48","0.49","2.30",,,,"1","4","Top",,,,,"600474",,,-5.28509421300774,-132.32722006974498,-6.129047189788804,12.44950248260918,32.85119140808413,-13.675054409251365,"3.55","1.63","231","80.7","50","91.6","2322","7.1",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.43",,,,,,,,"26","1","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","138","0","-0.027"
"FF","2021-09-29","92.2","1.76","5.88","Lowther, Zac",502110,675912,"strikeout","swinging_strike",,,,,"1","J.D. Martinez strikes out swinging.","R","R","L","BAL","BOS","S","2",,"0","2",2021,"1.19","1.61","-0.40","3.14",,,,"0","4","Top",,,,,"600474",,,-8.176205187211158,-133.78689326958758,-4.555447525741399,16.175934687166446,34.46911568934487,-12.160141605460526,"3.49","1.6",,,,"92.3","2366","7",632309,675912,"600474","663624","642162","642721","621006","663630","656775","669720","53.54",,,"0","1","0","0",,"25","3","4-Seam Fastball","0","1","1","0","1","0","1","0","Standard","Standard","137","0.023","-0.151"
